// Detail texture map file for es_frantic level
// [texture name]	[detail texture name]		[hscale]	[vscale]

cstrike_oe1smbm		detail/dt_metal2		10.0		10.0
cstrike_wb6pln3		detail/dt_brick			10.0		10.0
cstrike_wb6pln4		detail/dt_brick			10.0		10.0
cstrike_wb6wnd		detail/dt_brick			10.0		10.0
cstrike_wr4ccpn		detail/dt_stone1		10.0		10.0
cstrike_wr4ccwd		detail/dt_stone1		10.0		10.0
drkmtlt_bord11		detail/dt_metal1		10.0		10.0
fift_drtemp		detail/dt_wood			10.0		10.0
generic012		detail/dt_metal2		10.0		10.0
generic028		detail/dt_snow2			10.0		10.0
generic105		detail/dt_smooth1		10.0		10.0
generic105a		detail/dt_smooth1		10.0		10.0
generic105b		detail/dt_smooth1		10.0		10.0
generic105c		detail/dt_metal2		10.0		10.0
generic68		detail/dt_metal2		10.0		10.0
generic74		detail/dt_metal2		10.0		10.0
generic89a		detail/dt_smooth1		10.0		10.0
generic89b		detail/dt_smooth1		10.0		10.0
glass_bright		detail/dt_snow2			10.0		10.0
lab1_bluxflr1		detail/dt_brick			10.0		10.0
lab1_comp10f		detail/dt_metal2		10.0		10.0
lab1_comp3f		detail/dt_ssteel1		10.0		10.0
lab1_comp7b		detail/dt_metal2		10.0		10.0
MADE_BY_ME		detail/dt_ssteel1		10.0		10.0
mz_comando2		detail/dt_ssteel1		10.0		10.0
mz_warning		detail/dt_ssteel1		10.0		10.0
origin			detail/dt_smooth1		10.0		10.0
out_box2		detail/dt_metal1		10.0		10.0
out_box2b		detail/dt_metal1		10.0		10.0
out_dmp1a		detail/dt_metal1		10.0		10.0
out_dmp1b		detail/dt_metal1		10.0		10.0
out_dmp1c		detail/dt_metal1		10.0		10.0
out_dmp2a		detail/dt_metal1		10.0		10.0
out_dmp2c		detail/dt_metal1		10.0		10.0
out_dmplid		detail/dt_metal1		10.0		10.0
out_pave2		detail/dt_ground4		10.0		10.0
out_wall3a		detail/dt_metal2		10.0		10.0
out_wall3b		detail/dt_metal2		10.0		10.0
out_wall3d		detail/dt_metal2		10.0		10.0
signc2a1_2		detail/dt_metal1		10.0		10.0
sky			detail/dt_smooth1		10.0		10.0
tnnl_flr3b		detail/dt_ground1		10.0		10.0
tnnl_w4b		detail/dt_conc			10.0		10.0
trrm_pan6		detail/dt_metal1		10.0		10.0
trrm_wood		detail/dt_wood2			10.0		10.0
xcrate4a		detail/dt_metal2		10.0		10.0
xcrate4b		detail/dt_metal2		10.0		10.0
